conference	award_year	paper_title	if_tot	if_best_paper
ICCV	2013	An improved algorithm for algebraic curve and surface fitting	0	0
ICCV	2013	Building and using flexible models incorporating grey-level information	0	0
ICCV	2013	A global algorithm for shape from shading	0	0
ICCV	2013	Alignment by Maximization of Mutual Information	1	0
ICCV	2013	Better optical triangulation through spacetime analysis	0	0
ICCV	2013	Motion from the frontier of curved surfaces	0	0
ICCV	2013	Rigid body segmentation and shape description from dense optical flow under weak perspective	0	0
ICCV	2013	Global rigidity constraints in image displacement fields	0	0
ICCV	2013	The nonparametric approach for camera calibration	0	0
ICCV	2013	Bayesian decision theory, the maximum local mass estimate, and color constancy	0	0
ICCV	2013	Combining color and geometry for the active, visual recognition of shadows	0	0
ICCV	2013	Class-based grouping in perspective images	0	0
ICCV	2013	Unsupervised parallel image classification using a hierarchical Markovian model	0	0
ICCV	2013	In defence of the 8-point algorithm	1	0
ICCV	2013	Structure and semi-fluid motion analysis of stereoscopic satellite images for cloud tracking	0	0
ICCV	2013	Better optical triangulation through spacetime analysis	0	0
ICCV	2013	Image segmentation by reaction-diffusion bubbles	0	0
ICCV	2013	Indexing visual representations through the complexity map	0	0
ICCV	2013	Direct estimation of affine image deformations using visual front-end operations with automatic scale selection	0	0
ICCV	2013	Texture segmentation and shape in the same image	0	0
ICCV	2013	An integrated stereo-based approach to automatic vehicle guidance	0	0
ICCV	2013	A multi-body factorization method for motion analysis	0	0
ICCV	2013	Reconstruction from Image Sequences by Means of Relative Depths	0	0
ECCV	2022	A Naturalistic Open Source Movie for Optical Flow Evaluation	1	0
ECCV	2022	Match Graph Construction for Large Image Databases	0	0
ECCV	2022	Local Expert Forest of Score Fusion for Video Event Classification	0	0
ECCV	2022	Text Image Deblurring Using Text-Specific Properties	0	0
ECCV	2022	Non-causal Temporal Prior for Video Deblocking	0	0
ECCV	2022	Divergence-Free Motion Estimation	0	0
ECCV	2022	Learning Spatially-Smooth Mappings in Non-Rigid Structure From Motion	0	0
ECCV	2022	Camera Pose Estimation Using First-Order Curve Differential Geometry	0	0
ECCV	2022	Going with the Flow: Pedestrian Efficiency in Crowded Scenes	0	0
ECCV	2022	Unsupervised Temporal Commonality Discovery	0	0
ECCV	2022	Block-Sparse RPCA for Consistent Foreground Detection	0	0
ECCV	2022	Indoor Segmentation and Support Inference from RGBD Images	1	0
ECCV	2022	Action Recognition with Exemplar Based 2.5D Graph Matching	0	0
ECCV	2022	Detecting Actions, Poses, and Objects with Relational Phraselets	0	0
ECCV	2022	Background Subtraction with Dirichlet Processes	0	0
ECCV	2022	Color Constancy, Intrinsic Images, and Shape Estimation	0	0
ECCV	2022	Robust and Practical Face Recognition via Structured Sparsity	0	0
ECCV	2022	Efficient Closed-Form Solution to Generalized Boundary Detection	0	0
ECCV	2022	Automatic Tracking of a Large Number of Moving Targets in 3D	0	0
ECCV	2022	Segmentation over Detection by Coupled Global and Local Sparse Representations	0	0
ECCV	2022	Reading Ancient Coins: Automatically Identifying Denarii Using Obverse Legend Seeded Retrieval	0	0
ECCV	2020	Improving the Fisher Kernel for Large-Scale Image Classification	1	0
ECCV	2020	Bundle Adjustment in the Large	0	0
ECCV	2020	Image Invariants for Smooth Reflective Surfaces	0	0
ECCV	2020	Detecting Ground Shadows in Outdoor Consumer Photographs	0	0
ECCV	2020	Photometric Stereo for Dynamic Surface Orientations	0	0
ECCV	2020	Facial Contour Labeling via Congealing	0	0
ECCV	2020	An Iterative Method with General Convex Fidelity Term for Image Restoration	0	0
ECCV	2020	A Dual Theory of Inverse and Forward Light Transport	0	0
ECCV	2020	Membrane Nonrigid Image Registration	0	0
ECCV	2020	Video Synchronization Using Temporal Signals from Epipolar Lines	0	0
ECCV	2020	BRIEF: Binary Robust Independent Elementary Features	1	0
ECCV	2020	Cosegmentation Revisited: Models and Optimization	0	0
ECCV	2020	Energy Minimization under Constraints on Label Counts	0	0
ECCV	2020	Optimal Contour Closure by Superpixel Grouping	0	0
ECCV	2020	Shape from Second-Bounce of Light Transport	0	0
ECCV	2020	LACBoost and FisherBoost: Optimally Building Cascade Classifiers	0	0
ECCV	2020	A Fast Dual Method for HIK SVM Learning	0	0
ECCV	2020	Optimal Contour Closure by Superpixel Grouping	0	0
ECCV	2020	Localizing Objects While Learning Their Appearance	0	0
ECCV	2018	Hamming Embedding and Weak Geometric Consistency for Large Scale Image Search	1	0
ECCV	2018	Scale Invariant Action Recognition Using Compound Features Mined from Dense Spatio-temporal Corners	0	0
ECCV	2018	Joint Parametric and Non-parametric Curve Evolution for Medical Image Segmentation	0	0
ECCV	2018	Weakly Supervised Object Localization with Stable Segmentations	0	0
ECCV	2018	Shape Matching by Segmentation Averaging	0	0
ECCV	2018	Optimization of Symmetric Transfer Error for Sub-frame Video Synchronization	0	0
ECCV	2018	Illumination and Person-Insensitive Head Pose Estimation Using Distance Metric Learning	0	0
ECCV	2018	Automatic Generator of Minimal Problem Solvers	0	0
ECCV	2018	Semi-supervised On-Line Boosting for Robust Tracking	1	0
ECCV	2018	3D Non-rigid Surface Matching and Registration Based on Holomorphic Differentials	0	0
ECCV	2018	Training Hierarchial Feed-forward Visual Recognition Models Using Transfer Learning from Pseudo-Tasks	0	0
ECCV	2018	Belief Propagation with Directional Statistics for solving the Shape-from-Shading problem	0	0
ECCV	2018	Fusion of Feature- and Area-Based Information for Urban Buildings Modeling from Aerial Imagery	0	0
ECCV	2018	Joint Parametric and Non-Parametric Curve Evolution for Medical Image Segmentation	0	0
ECCV	2018	Analysis of Building Textures for Reconstructing Partially Occluded Facades	0	0
ECCV	2018	Scale Invariant Action Recognition using Compound Features Mined from Dense Spatio-temporal Corners	0	0
ECCV	2018	Direct Bundle Estimation for Recovery of Shape, Reflectance Property and Light Position	0	0
ECCV	2018	Automated Delineation of Dendritic Networks in Noisy Image Stacks	0	0
ECCV	2018	Robust Visual Tracking Based on an Effective Appearance Model	0	0
ECCV	2016	SURF: Speeded Up Robust Features	1	0
ECCV	2016	Robust Multi-view Face Detection Using Error Correcting Output Codes	0	0
